batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,1,true,accepted_better_distance|tier=dist_gt_2;dist=2.6805;center_gap=3.94;mode=both;dominant=word;dir_changed=0;wb=52;sb=15;lf=1.19;df=2.10;af=na;pg=na;pd=na;af_fb=0,2.1606,2.6805,2.1606,-0.5199,true,0.8614,3.87,79.41,3.59,6.84,3.4,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,2,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=52;sb=33;lf=1.03;df=1.98;af=4.0000;pg=2.6805;pd=0.5199;af_fb=0,2.3189,2.1606,2.1606,0.1583,false,0.8714,9.74,37.09,9.19,13.82,5.41,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,2,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=52;sb=33;lf=1.03;df=1.98;af=4.0000;pg=2.6805;pd=0.5199;af_fb=0,2.3382,2.1606,2.1606,0.1776,false,0.8814,9.73,37.08,9.28,13.94,5.41,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,2,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=52;sb=33;lf=1.03;df=1.98;af=4.0000;pg=2.6805;pd=0.5199;af_fb=0,2.1606,2.1606,2.1606,0,false,0.8614,3.87,79.41,3.59,6.84,3.4,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,3,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=both;dominant=sentence;dir_changed=0;wb=52;sb=33;lf=1.03;df=1.98;af=1.0000;pg=2.1606;pd=0.0000;af_fb=1,9.1048,2.1606,2.1606,6.9442,false,0.7848,22.85,-10.83,25.13,21.11,18.22,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,3,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=both;dominant=sentence;dir_changed=0;wb=52;sb=33;lf=1.03;df=1.98;af=1.0000;pg=2.1606;pd=0.0000;af_fb=1,8.1683,2.1606,2.1606,6.0077,false,0.722,20.97,-7.1,22.68,21.28,15.89,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,3,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=both;dominant=sentence;dir_changed=0;wb=52;sb=33;lf=1.03;df=1.98;af=1.0000;pg=2.1606;pd=0.0000;af_fb=1,8.5411,2.1606,2.1606,6.3805,false,0.7238,21.34,-13.58,22.5,22.3,16.31,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,4,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=both;dominant=sentence;dir_changed=0;wb=52;sb=33;lf=1.03;df=1.98;af=1.0000;pg=2.1606;pd=0.0000;af_fb=1,7.9655,2.1606,2.1606,5.8049,false,0.7283,20.22,-10.52,21.17,22.24,15,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,4,false,rejected_low_fidelity|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=both;dominant=sentence;dir_changed=0;wb=52;sb=33;lf=1.03;df=1.98;af=1.0000;pg=2.1606;pd=0.0000;af_fb=1,7.7236,2.1606,2.1606,5.563,false,0.7083,20.04,-3.96,21.53,20.99,15.58,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,4,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=both;dominant=sentence;dir_changed=0;wb=52;sb=33;lf=1.03;df=1.98;af=1.0000;pg=2.1606;pd=0.0000;af_fb=1,8.9223,2.1606,2.1606,6.7617,false,0.7393,21.73,-17.45,23.2,23.53,16.38,0
adj_q_small_20260227_224849,ch5_small_adjust_questions_20260227_224849,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,f0362e86-e8a4-4702-94fb-fb02744cdc4c,2,false,5,false,rejected_not_better_regenerate|tier=dist_gt_2;dist=2.1606;center_gap=4.21;mode=both;dominant=sentence;dir_changed=0;wb=52;sb=33;lf=1.03;df=1.98;af=1.0000;pg=2.1606;pd=0.0000;af_fb=1,8.2603,2.1606,2.1606,6.0997,false,0.7338,20.98,-9.76,22.27,21.62,16.15,0
